Title:,"Time Series, Area-Averaged of Transpiration hourly 0.125 deg. [NLDAS Model NLDAS_MOS0125_H ()"
User Start Date:,2019-01-01T00:00:00Z
User End Date:,2019-05-26T23:59:59Z
User Bounding Box:,"-84.9463,34.0137,-81.123,36.6504"
Data Bounding Box:,"-84.9375,34.0625,-81.1875,36.5625"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2019-01-01T00:00:00Z&endtime=2019-05-26T23:59:59Z&bbox=-84.9463,34.0137,-81.123,36.6504&data=NLDAS_MOS0125_H_002_transsfc&variableFacets=dataFieldDiscipline%3AWater%20and%20Energy%20Cycle%3B&portal=GIOVANNI&format=json"
Fill Value (mean_NLDAS_MOS0125_H_002_transsfc):,-9999
,
time, mean_NLDAS_MOS0125_H_002_transsfc
1/6/19 23:00,-0.577269614
1/7/19 0:00,-0.063996226
1/7/19 1:00,-0.005651959
1/7/19 2:00,-0.000493523
1/7/19 3:00,-0.000169388
1/7/19 4:00,-0.000216071
1/7/19 5:00,-0.000262801
1/7/19 6:00,-0.00066485
1/7/19 7:00,-0.001498857
1/7/19 8:00,-0.011252054
1/7/19 9:00,-0.060555879
1/7/19 10:00,-0.183370262
1/7/19 11:00,-0.357055068
1/7/19 12:00,-0.49476862
1/7/19 13:00,-0.483540207
1/7/19 14:00,-2.25821376
1/7/19 15:00,-20.9266109
1/7/19 16:00,-61.7767448
1/7/19 17:00,-84.9601059
1/7/19 18:00,-101.595688
1/7/19 19:00,-104.330994
1/7/19 20:00,-92.7374115
1/7/19 21:00,-66.3869095
1/7/19 22:00,-31.9996853
1/7/19 23:00,-5.71401167
1/8/19 0:00,-1.7850225
1/8/19 1:00,-1.16352725
1/8/19 2:00,-1.04080641
1/8/19 3:00,-1.06279504
1/8/19 4:00,-0.99900043
1/8/19 5:00,-0.812695086
1/8/19 6:00,-0.658384144
1/8/19 7:00,-0.570128798
1/8/19 8:00,-0.485253394
1/8/19 9:00,-0.455319285
1/8/19 10:00,-0.479572117
1/8/19 11:00,-0.425685197
1/8/19 12:00,-0.349729955
1/8/19 13:00,-0.309160173
1/8/19 14:00,-2.53955436
1/8/19 15:00,-16.5690346
1/8/19 16:00,-38.0860901
1/8/19 17:00,-54.3089676
1/8/19 18:00,-68.2698746
1/8/19 19:00,-74.5790329
1/8/19 20:00,-70.5227203
1/8/19 21:00,-53.6021576
1/8/19 22:00,-28.3945541
1/8/19 23:00,-7.11060667
1/9/19 0:00,-3.05883074
1/9/19 1:00,-2.19848967
1/9/19 2:00,-2.3599658
1/9/19 3:00,-2.52411056
1/9/19 4:00,-2.31410408
1/9/19 5:00,-2.17466116
1/9/19 6:00,-2.0351634
1/9/19 7:00,-1.57809103
1/9/19 8:00,-1.26734674
1/9/19 9:00,-1.01636124
1/9/19 10:00,-0.770991623
1/9/19 11:00,-0.660680473
1/9/19 12:00,-0.58438313
1/9/19 13:00,-0.701513112
1/9/19 14:00,-3.64352655
1/9/19 15:00,-18.3078995
1/9/19 16:00,-37.3747139
1/9/19 17:00,-51.8379707
1/9/19 18:00,-61.4522018
1/9/19 19:00,-61.6636734
1/9/19 20:00,-54.2491455
1/9/19 21:00,-40.1001663
1/9/19 22:00,-21.522831
1/9/19 23:00,-5.52736902
1/10/19 0:00,-2.09041452
1/10/19 1:00,-1.10138154
1/10/19 2:00,-0.79837656
1/10/19 3:00,-0.633052051
1/10/19 4:00,-0.506130338
1/10/19 5:00,-0.41391319
1/10/19 6:00,-0.337699383
1/10/19 7:00,-0.296130717
1/10/19 8:00,-0.280899435
1/10/19 9:00,-0.254336298
1/10/19 10:00,-0.24151817
1/10/19 11:00,-0.26319769
1/10/19 12:00,-0.276928842
1/10/19 13:00,-0.303999394
1/10/19 14:00,-1.89716756
1/10/19 15:00,-9.26268101
1/10/19 16:00,-19.3253937
1/10/19 17:00,-30.7873058
1/10/19 18:00,-41.8356438
1/10/19 19:00,-46.1255722
1/10/19 20:00,-42.6685905
1/10/19 21:00,-32.4672165
1/10/19 22:00,-17.3639812
1/10/19 23:00,-3.41402245
1/11/19 0:00,-0.57545805
1/11/19 1:00,-0.161169484
1/11/19 2:00,-0.076468021
1/11/19 3:00,-0.053821955
1/11/19 4:00,-0.039743193
1/11/19 5:00,-0.023521246
1/11/19 6:00,-0.010219052
1/11/19 7:00,-0.002785661
1/11/19 8:00,-0.000246468
1/11/19 9:00,0
1/11/19 10:00,0
1/11/19 11:00,0
1/11/19 12:00,0
1/11/19 13:00,0
1/11/19 14:00,-0.049501576
1/11/19 15:00,-8.63676739
1/11/19 16:00,-34.165184
1/11/19 17:00,-56.8703842
1/11/19 18:00,-76.1107788
1/11/19 19:00,-82.2962952
1/11/19 20:00,-74.6575394
1/11/19 21:00,-54.893692
1/11/19 22:00,-28.9074364
1/11/19 23:00,-5.45774174
1/12/19 0:00,-1.12464964
1/12/19 1:00,-0.605305672
1/12/19 2:00,-0.341750383
1/12/19 3:00,-0.324984461
1/12/19 4:00,-0.594947398
1/12/19 5:00,-0.87947017
1/12/19 6:00,-1.19503546
1/12/19 7:00,-1.63929129
1/12/19 8:00,-1.8829565
1/12/19 9:00,-1.88058174
1/12/19 10:00,-1.88344491
1/12/19 11:00,-1.99748313
1/12/19 12:00,-2.21074128
1/12/19 13:00,-2.65986562
1/12/19 14:00,-6.69087029
1/12/19 15:00,-12.2234707
1/12/19 16:00,-16.2033634
1/12/19 17:00,-19.1389065
1/12/19 18:00,-20.9247074
1/12/19 19:00,-20.8079014
1/12/19 20:00,-18.6196785
1/12/19 21:00,-14.2134771
1/12/19 22:00,-8.01193333
1/12/19 23:00,-2.75491738
1/13/19 0:00,-1.27530169
1/13/19 1:00,-0.682694256
1/13/19 2:00,-0.354050517
1/13/19 3:00,-0.17538397
1/13/19 4:00,-0.097222574
1/13/19 5:00,-0.061317805
1/13/19 6:00,-0.046620391
1/13/19 7:00,-0.044950496
1/13/19 8:00,-0.049054109
1/13/19 9:00,-0.050632246
1/13/19 10:00,-0.051565506
1/13/19 11:00,-0.050972544
1/13/19 12:00,-0.054302137
1/13/19 13:00,-0.069330484
1/13/19 14:00,-0.229422331
1/13/19 15:00,-0.759244382
1/13/19 16:00,-2.27431941
1/13/19 17:00,-5.42843151
1/13/19 18:00,-10.0307903
1/13/19 19:00,-13.7385569
1/13/19 20:00,-14.872489
1/13/19 21:00,-12.7188873
1/13/19 22:00,-7.38767147
1/13/19 23:00,-1.51365662
1/14/19 0:00,-0.382510245
1/14/19 1:00,-0.322977364
1/14/19 2:00,-0.309474111
1/14/19 3:00,-0.314390689
1/14/19 4:00,-0.310486823
1/14/19 5:00,-0.307726651
1/14/19 6:00,-0.297285885
1/14/19 7:00,-0.285186231
1/14/19 8:00,-0.284494638
1/14/19 9:00,-0.272141099
1/14/19 10:00,-0.245975807
1/14/19 11:00,-0.230747387
1/14/19 12:00,-0.222002342
1/14/19 13:00,-0.311416984
1/14/19 14:00,-1.42107821
1/14/19 15:00,-4.50958395
1/14/19 16:00,-9.06725121
1/14/19 17:00,-14.8695307
1/14/19 18:00,-22.3285217
1/14/19 19:00,-27.5687027
1/14/19 20:00,-27.3135605
1/14/19 21:00,-21.5769958
1/14/19 22:00,-12.1830692
1/14/19 23:00,-2.84402752
1/15/19 0:00,-0.429465234
1/15/19 1:00,-0.209881842
1/15/19 2:00,-0.184702873
1/15/19 3:00,-0.143776536
1/15/19 4:00,-0.094193496
1/15/19 5:00,-0.086729467
1/15/19 6:00,-0.07675305
1/15/19 7:00,-0.058328528
1/15/19 8:00,-0.04999638
1/15/19 9:00,-0.036107063
1/15/19 10:00,-0.023811154
1/15/19 11:00,-0.029898748
1/15/19 12:00,-0.025841191
1/15/19 13:00,-0.011086074
1/15/19 14:00,-0.940039396
1/15/19 15:00,-8.08052635
1/15/19 16:00,-20.4384632
1/15/19 17:00,-33.8060455
1/15/19 18:00,-47.4173241
1/15/19 19:00,-54.8373489
1/15/19 20:00,-53.6337013
1/15/19 21:00,-42.3403282
1/15/19 22:00,-23.1103916
1/15/19 23:00,-3.68014002
1/16/19 0:00,-0.070799358
1/16/19 1:00,-0.007240473
1/16/19 2:00,-0.002337192
1/16/19 3:00,-0.000686777
1/16/19 4:00,-6.33E-05
1/16/19 5:00,-9.54E-07
1/16/19 6:00,-9.54E-07
1/16/19 7:00,0
1/16/19 8:00,-3.81E-06
1/16/19 9:00,-3.81E-06
1/16/19 10:00,0
1/16/19 11:00,-9.54E-07
1/16/19 12:00,0
1/16/19 13:00,-0.000202925
1/16/19 14:00,-0.046508979
1/16/19 15:00,-5.74237967
1/16/19 16:00,-34.0707016
1/16/19 17:00,-56.2105026
1/16/19 18:00,-75.897377
1/16/19 19:00,-83.636734
1/16/19 20:00,-78.0273056
1/16/19 21:00,-58.9544601
1/16/19 22:00,-30.3484325
1/16/19 23:00,-2.13964367
1/17/19 0:00,-0.073371902
1/17/19 1:00,-0.000948127
1/17/19 2:00,0
1/17/19 3:00,0
1/17/19 4:00,0
1/17/19 5:00,0
1/17/19 6:00,0
1/17/19 7:00,-9.54E-07
1/17/19 8:00,-9.54E-07
1/17/19 9:00,0
1/17/19 10:00,-9.54E-07
1/17/19 11:00,0
1/17/19 12:00,0
1/17/19 13:00,0
1/17/19 14:00,-0.007359422
1/17/19 15:00,-5.55721712
1/17/19 16:00,-27.5154896
1/17/19 17:00,-36.5216255
1/17/19 18:00,-32.759285
1/17/19 19:00,-23.7050076
1/17/19 20:00,-16.6855469
1/17/19 21:00,-8.48335648
1/17/19 22:00,-2.78728628
1/17/19 23:00,-0.513313174
1/18/19 0:00,-0.146308571
1/18/19 1:00,-0.083799467
1/18/19 2:00,-0.064028442
1/18/19 3:00,-0.052778781
1/18/19 4:00,-0.03967087
1/18/19 5:00,-0.032738973
1/18/19 6:00,-0.031403709
1/18/19 7:00,-0.027677869
1/18/19 8:00,-0.020591546
1/18/19 9:00,-0.015539015
1/18/19 10:00,-0.012069281
1/18/19 11:00,-0.00740114
