Title:,"Time Series, Area-Averaged of Combined Dark Target and Deep Blue AOD at 0.55 micron for land and ocean: ()"
User Start Date:,2019-01-01T00:00:00Z
User End Date:,2019-05-30T23:59:59Z
User Bounding Box:,"-84.9463,34.0137,-81.123,36.6504"
Data Bounding Box:,"-84.5,34.5,-81.5,36.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2019-01-01T00:00:00Z&endtime=2019-05-30T23:59:59Z&bbox=-84.9463,34.0137,-81.123,36.6504&data=OMNO2d_003_ColumnAmountNO2TropCloudScreened%2CAIRS3STD_006_CH4_VMR_A(z%3D1000)%2CMYD08_D3_6_1_AOD_550_Dark_Target_Deep_Blue_Combined_Mean&variableFacets=dataFieldMeasurement%3AAerosol%20Optical%20Depth%2CCH4%2CNO2%3B&portal=GIOVANNI&format=json"
Fill Value (MYD08_D3_6_1_AOD_550_Dark_Target_Deep_Blue_Combined_Mean):, -9999

time, MYD08_D3_6_1_AOD_550_Dark_Target_Deep_Blue_Combined_Mean
2019-01-01,-9999
2019-01-02,-9999
2019-01-03,-9999
2019-01-04,-9999
2019-01-05,-0.0375021022
2019-01-06,-0.0291487771
2019-01-07,0.0241475089
2019-01-08,0.063500003
2019-01-09,-0.029481289
2019-01-10,-0.0134149139
2019-01-11,0.00503182977
2019-01-12,-9999
2019-01-13,-9999
2019-01-14,-9999
2019-01-15,0.0313083233
2019-01-16,-0.0127703451
2019-01-17,0.0370000018
2019-01-18,0.112000005
2019-01-19,-9999
2019-01-20,0.0133702172
2019-01-21,-0.0194725883
2019-01-22,0.0069639591
2019-01-23,-9999
2019-01-24,-0.00307504842
2019-01-25,0.0176335353
2019-01-26,0.00118601098
2019-01-27,-9999
2019-01-28,0.0341131145
2019-01-29,0.0510000024
2019-01-30,0.0186411145
2019-01-31,0.0363748596
2019-02-01,0.0148177137
2019-02-02,0.00974001564
2019-02-03,0.0536415007
2019-02-04,0.031773941
2019-02-05,0.0490121987
2019-02-06,-9999
2019-02-07,0.0925218515
2019-02-08,-0.0177502484
2019-02-09,-9999
2019-02-10,-9999
2019-02-11,-9999
2019-02-12,-9999
2019-02-13,-0.033011945
2019-02-14,-9999
2019-02-15,-9999
2019-02-16,-9999
2019-02-17,-9999
2019-02-18,0.0527874136
2019-02-19,-9999
2019-02-20,-9999
2019-02-21,-9999
2019-02-22,-9999
2019-02-23,-9999
2019-02-24,-0.0130656548
2019-02-25,-0.0380000018
2019-02-26,0.109533614
2019-02-27,0.0170020856
2019-02-28,-9999
2019-03-01,-9999
2019-03-02,0.0571148891
2019-03-03,-9999
2019-03-04,0.102000005
2019-03-05,-0.00899388981
2019-03-06,-0.00633333363
2019-03-07,0.0479810569
2019-03-08,-9999
2019-03-09,-9999
2019-03-10,0.0416863758
2019-03-11,0.0190000009
2019-03-12,-0.0162500008
2019-03-13,-9999
2019-03-14,-9999
2019-03-15,-0.00504416767
2019-03-16,-9999
2019-03-17,-0.0425104531
2019-03-18,0.0363910421
2019-03-19,-0.0223336324
2019-03-20,0.0365247614
2019-03-21,0.535000025
2019-03-22,-0.0182529511
2019-03-23,0.002882931
2019-03-24,0.0568223213
2019-03-25,-9999
2019-03-26,0.0666528305
2019-03-27,0.0254873868
2019-03-28,0.00131988551
2019-03-29,-9999
2019-03-30,0.107649415
2019-03-31,0.00289497356
2019-04-01,0.05172274
2019-04-02,0.0736694844
2019-04-03,0.0940015331
2019-04-04,-9999
2019-04-05,-9999
2019-04-06,0.166996096
2019-04-07,0.330000016
2019-04-08,-9999
2019-04-09,0.0809639534
2019-04-10,0.0456581573
2019-04-11,0.176991877
2019-04-12,-9999
2019-04-13,1.05700005
2019-04-14,0.242151464
2019-04-15,0.0237418524
2019-04-16,0.0103170574
2019-04-17,0.143069402
2019-04-18,0.1958179
2019-04-19,-9999
2019-04-20,-9999
2019-04-21,0.0256761048
2019-04-22,0.0146488189
2019-04-23,0.128396745
2019-04-24,0.123238288
2019-04-25,-9999
2019-04-26,0.156183447
2019-04-27,0.0284814442
2019-04-28,0.108239057
2019-04-29,0.206152933
2019-04-30,-9999
2019-05-01,0.116458793
2019-05-02,0.171049521
2019-05-03,0.272305041
2019-05-04,-9999
2019-05-05,-9999
2019-05-06,0.0809701137
2019-05-07,0.282000013
2019-05-08,0.22134616
2019-05-09,-9999
2019-05-10,0.248000012
2019-05-11,-9999
2019-05-12,-9999
2019-05-13,0.0805836586
2019-05-14,0.0754587569
2019-05-15,0.269000013
2019-05-16,0.0876087522
2019-05-17,0.264397551
2019-05-18,0.208884254
2019-05-19,0.2485084
2019-05-20,0.106461705
2019-05-21,0.0516619654
2019-05-22,0.295289284
2019-05-23,0.3716623
2019-05-24,0.223522729
2019-05-25,0.204357459
2019-05-26,0.142259876
2019-05-27,0.220945739
2019-05-28,0.138599559
2019-05-29,0.140979756
2019-05-30,0.205423627
